uvrstitev,rezultat [s],ime tekmovalke,datum rojstva,država,pozicija,datum dogodka,skupne točke,kontinent
1810,7.71,Valentina LUCCHESE,16 NOV 2006,ITA,4sf1,03 FEB 2024,985,Evropa
1810,7.71,Kaja DEBEVEC,14 AUG 1996,SLO,4f3,03 FEB 2024,985,Evropa
1810,7.71,Emma LAMBOUR,11 NOV 2002,FRA,5f2,08 FEB 2024,985,Evropa
1810,7.71,Michayla IVORY,,USA,4pr11,09 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Marlen Elisabeth AAKRE JOHANSSON,17 SEP 1993,NOR,1h1,09 FEB 2024,985,Evropa
1810,7.71,Jasmin SHOWLAH,30 MAY 1989,FIN,2h1,10 FEB 2024,985,Evropa
1810,7.71,Laurie-marine UNAU,13 NOV 2001,FRA,1f2,10 FEB 2024,985,Evropa
1810,7.71,Hanna PIĄTKOWSKA,07 FEB 2008,POL,3f1,10 FEB 2024,985,Evropa
1810,7.71,Stella HOFFMANN,17 AUG 2008,GER,1h1,10 FEB 2024,985,Evropa
1810,7.71,Esme DU BOIS,,GBR,4sf1,10 FEB 2024,985,Evropa
1810,7.71,Louise THOUMIEUX,11 APR 2005,FRA,h1,10 FEB 2024,985,Evropa
1810,7.71,Bente JACOBS,2007,NED,4f1,10 FEB 2024,985,Evropa
1810,7.71,Khiaaama KOFI,12 MAR 2002,GBR,7f1,14 FEB 2024,985,Evropa
1810,7.71,Gali DANCONA,11 OCT 2006,ISR,3,15 FEB 2024,985,Evropa
1810,7.71,Apostolia ANTONATOU,28 DEC 2009,GRE,1f3,17 FEB 2024,985,Evropa
1810,7.71,Jahaida GABRIEL,,USA,1,19 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Catherine FORBES,,USA,6h2,19 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Rachel WATSON,2002,CAN,3h2,23 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Kristina VINCIC,16 FEB 2005,CAN,6h3,23 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Ester PAROHOVÁ,14 NOV 2006,CZE,3h1,24 FEB 2024,985,Evropa
1810,7.71,Linnea HIRVELÄ,25 JUN 2007,FIN,2,24 FEB 2024,985,Evropa
1810,7.71,Mone KNOWLES,,USA,3h4,24 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Sydne PORTER,,USA,2h5,25 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Madelyn SANDA,,USA,4h2,25 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Kayleigh JENKINS,,USA,4h2,25 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Alexe GAUTHIER,2002,CAN,3,25 FEB 2024,985,Severna in Srednja Amerika
1810,7.71,Helena WINTERS,2008,BEL,1h5,02 MAR 2024,985,Evropa
1810,7.71,Line ANDERSEN,27 DEC 2004,DEN,1,02 MAR 2024,985,Evropa
1810,7.71,Kimberly-Trisha METZ,31 JAN 2005,GER,1,02 MAR 2024,985,Evropa
1810,7.71,Tatyana KAULINA,21 MAY 2005,RUS,1,02 MAR 2024,985,Evropa
1810,7.71,Allyson HAMMOND,,USA,6h3,08 MAR 2024,985,Severna in Srednja Amerika
1810,7.71,Natashe TATE,,USA,5h1,08 MAR 2024,985,Severna in Srednja Amerika
1810,7.71,Jila VADEN,11 NOV 2005,USA,3h10,09 MAR 2024,985,Severna in Srednja Amerika
1810,7.71,Jade-Lynn INNOCENT,2006,CAN,3,17 MAR 2024,985,Severna in Srednja Amerika
1810,7.71,Sereina LIEM,06 MAR 2008,SUI,1f2,04 MAY 2024,985,Evropa
1874,7.72,Darci KHAN,25 OCT 2000,USA,3h4,12 JAN 2024,982,Severna in Srednja Amerika
1874,7.72,Sarah L'HEUREUX,2008,CAN,5f1,13 JAN 2024,982,Severna in Srednja Amerika
1874,7.72,Martina PISACHEVA,08 MAR 2002,BUL,3h1,13 JAN 2024,982,Evropa
1874,7.72,Ludovica GALUPPI,17 JAN 2005,ITA,6h1,13 JAN 2024,982,Evropa
1874,7.72,Daniela LASMANE,06 JUL 2003,LAT,2,13 JAN 2024,982,Evropa
1874,7.72,Saadet ÖZTÜRK,26 JAN 2006,TUR,2,13 JAN 2024,982,Evropa
1874,7.72,Elisa LECHLEITNER,06 AUG 1999,GER,4f1,14 JAN 2024,982,Evropa
1874,7.72,Francesca ORFEO,06 MAR 2005,ITA,2h2,14 JAN 2024,982,Evropa
1874,7.72,Dáša TOMKOVÁ,16 JUN 2000,SVK,2,16 JAN 2024,982,Evropa
1874,7.72,Mikah SCOTT,,USA,4h3,20 JAN 2024,982,Severna in Srednja Amerika
1874,7.72,Nelly SOHN,2006,GER,2f1,20 JAN 2024,982,Evropa
1874,7.72,Carina Celia STETTLER,17 JUN 2008,SUI,2f1,21 JAN 2024,982,Evropa
1874,7.72,Linda BICHSEL,27 DEC 2004,SUI,1h3,21 JAN 2024,982,Evropa
1874,7.72,Orianne CHÉRY,30 MAY 2002,FRA,5f1,21 JAN 2024,982,Evropa
1874,7.72,Eliisa KALLIO,17 SEP 2004,FIN,1f2,21 JAN 2024,982,Evropa
1874,7.72,Sara CURATOLO,28 JUN 2004,ITA,1h2,21 JAN 2024,982,Evropa
1874,7.72,Sherri Ann NORTON,2002,USA,4h2,26 JAN 2024,982,Severna in Srednja Amerika
1874,7.72,Jaelyn TUCKER,2001,USA,3h2,26 JAN 2024,982,Severna in Srednja Amerika
1874,7.72,Kellynsia LEERDAM,08 AUG 2001,NED,6f1,27 JAN 2024,982,Evropa
1874,7.72,Emy GUKEMA,2001,NED,7f1,27 JAN 2024,982,Evropa
1874,7.72,Emma TAINIO,05 NOV 2003,FIN,6h6,27 JAN 2024,982,Evropa
1874,7.72,Tamara PREKAJAC,03 APR 2006,SRB,4,27 JAN 2024,982,Evropa
1874,7.72,Cansu Nimet SAYIN,13 AUG 2003,TUR,2h1,27 JAN 2024,982,Evropa
1874,7.72,Alyssa CULLEN,,USA,1f9,27 JAN 2024,982,Severna in Srednja Amerika
1874,7.72,Aleksandra YEPIFANOVA,19 SEP 2008,RUS,2sf3,29 JAN 2024,982,Evropa
1874,7.72,Peyton KORYTKOWSKI,,USA,3h1,02 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Nevaeh LOWE,,USA,1h3,02 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Marta ZIMNA,28 FEB 2002,POL,3h2,03 FEB 2024,982,Evropa
1874,7.72,Angeles TARANCON,24 NOV 1998,ESP,4h1,03 FEB 2024,982,Evropa
1874,7.72,Victoria KNIGHT,,USA,3h1,03 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Lily PALACIO-LEWIS,,USA,6,03 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Eleonora RICCI,21 JAN 2001,ITA,1h9,03 FEB 2024,982,Evropa
1874,7.72,Carlota ROMEO,27 JUL 2007,ESP,1f1,03 FEB 2024,982,Evropa
1874,7.72,Lauren BROWN,,USA,3h2,03 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Kyla FINDLEY,2008,CAN,3f2,03 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Alexandria EDISON,12 APR 2004,USA,4f3,03 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Nanami SAKANO,28 APR 2000,JPN,5h2,04 FEB 2024,982,Azija
1874,7.72,Misa IIDA,09 SEP 2003,JPN,5h3,04 FEB 2024,982,Azija
1874,7.72,Mako ASADA,26 JAN 2006,JPN,1f2,04 FEB 2024,982,Azija
1874,7.72,Nikola JEŽKOVÁ,27 DEC 2001,CZE,2,04 FEB 2024,982,Evropa
1874,7.72,Allysia FARRAR,2002,USA,1h1,09 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Isabel ROLOFF,20 DEC 2003,USA,2h2,09 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Sunniva INDAHL,23 JUL 2006,NOR,1h1,09 FEB 2024,982,Evropa
1874,7.72,Pia Lauren MATSALU,18 DEC 2007,EST,1f1,10 FEB 2024,982,Evropa
1874,7.72,Lavanya WILLIAMS,08 DEC 2005,JAM,6,10 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Szilvia SZIKOSSY,23 FEB 2003,HUN,2f1,10 FEB 2024,982,Evropa
1874,7.72,Sarah HERMSDORF,22 JUN 2004,GER,2h4,10 FEB 2024,982,Evropa
1874,7.72,Rose CRAMER,,USA,1h5,10 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Ramona SCHNEIDER,13 AUG 1997,GER,2h2,10 FEB 2024,982,Evropa
1874,7.72,Annie KUNZ,16 FEB 1993,USA,1h4,10 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Dorota AZARI,2009,SVK,1,10 FEB 2024,982,Evropa
1874,7.72,Eleonora ALBERTI,31 JUL 2000,ITA,4f4,11 FEB 2024,982,Evropa
1874,7.72,Taliyah LINDSAY-STANTON,,USA,2h6,16 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Bailey KEALAMAKIA,,USA,3h1,16 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Kätriin KIVIMETS,20 SEP 2004,EST,3,17 FEB 2024,982,Evropa
1874,7.72,Kisha FRANCOIS,,USA,2,17 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Nashwena JONGE,,NED,5sf1,17 FEB 2024,982,Evropa
1874,7.72,Tehillah IKECHUKWU,,GBR,1h1,17 FEB 2024,982,Evropa
1874,7.72,Madison MARSH,,USA,3h2,19 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Alexia AUSTIN,27 DEC 2004,JAM,4h1,23 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Audrey SMITH,,USA,5h1,23 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Nina LAVELLE,,USA,2h2,23 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Rachel LORIMER,,GBR,1h11,23 FEB 2024,982,Evropa
1874,7.72,Yuliya KAZARINOVA,17 SEP 2003,RUS,3h1,23 FEB 2024,982,Evropa
1874,7.72,Priscilla BOATENG,09 OCT 2005,FIN,2sf1,24 FEB 2024,982,Evropa
1874,7.72,Ella COOPER,17 AUG 2005,USA,2,24 FEB 2024,982,Severna in Srednja Amerika
1874,7.72,Lilian CAZORLA,30 JAN 2008,ESP,2sf2,24 FEB 2024,982,Evropa
1874,7.72,Jaela BAILEY,06 OCT 2007,CAN,3f3,02 MAR 2024,982,Severna in Srednja Amerika
1874,7.72,Kyra TERRY,,USA,3h7,09 MAR 2024,982,Severna in Srednja Amerika
1874,7.72,Ainhoa BARCO,04 FEB 2006,ESP,3h3,09 MAR 2024,982,Evropa
1874,7.72,Camila RODRIGUEZ,21 DEC 2005,ESP,6sf1,09 MAR 2024,982,Evropa
1874,7.72,Xuan LUO,03 MAR 2003,CHN,2h5,16 MAR 2024,982,Azija
1874,7.72,Wenqin ZHOU,05 JAN 2003,CHN,8h7,16 MAR 2024,982,Azija
1947,7.73,Darya MURANOVA,07 JAN 2001,RUS,3h2,07 JAN 2024,978,Evropa
1947,7.73,Kayla HARRISON,,USA,2h5,12 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Lola KOLAWOLE,,USA,4h3,12 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Ariel FLETCHER,2004,USA,2h4,12 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Ashley HOLLENBECK,,USA,8sf3,12 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Anyeh BRONSON,2007,USA,4h1,12 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Nekea TALAIA,17 SEP 2007,AUS,1,13 JAN 2024,978,Oceanija
1947,7.73,Caleia JOHNSON,2003,USA,3h6,13 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Marina DELGADO,02 MAR 2007,ESP,3h2,13 JAN 2024,978,Evropa
1947,7.73,Fatumata BALDÉ,29 JUL 2000,POR,5f3,13 JAN 2024,978,Evropa
1947,7.73,Amari PRATT,,BAH,4h3,13 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Sonja STÅNG,18 MAR 2002,FIN,3f2,14 JAN 2024,978,Evropa
1947,7.73,Alana RYAN,14 MAR 2000,IRL,2f3,14 JAN 2024,978,Evropa
1947,7.73,Ilaria BURATTIN,18 MAR 1994,ITA,3f1,14 JAN 2024,978,Evropa
1947,7.73,Kaleia ARRINGTON,,USA,2,19 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,8h1,20 JAN 2024,978,Evropa
1947,7.73,Helmi HJORTBÄCK,06 APR 2005,SWE,3h2,20 JAN 2024,978,Evropa
1947,7.73,Mariah MCCORD,,USA,3,20 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Kornelija OKUNEVIČ,08 SEP 1999,LTU,1,20 JAN 2024,978,Evropa
1947,7.73,Paola VAZQUEZ,28 NOV 1998,PUR,6h2,20 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Marilyn ALABISO,27 JUL 1994,BEL,3,20 JAN 2024,978,Evropa
1947,7.73,Katiana GILBERT,2005,CAN,5,20 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Leiya GREEN,2002,USA,3h1,20 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Karolina BĄBEL,14 NOV 2005,POL,2,24 JAN 2024,978,Evropa
1947,7.73,Zaria PARKER,,USA,1pr3,26 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Dasya TOLBERT,2003,USA,4h2,26 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Cinsi LEERDAM,2006,NED,3f1,27 JAN 2024,978,Evropa
1947,7.73,Emily NICHOLS,,USA,3h2,27 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Emma PLÖCHINGER,2007,GER,1,27 JAN 2024,978,Evropa
1947,7.73,Mira BAUS,01 JUL 2004,GER,7,27 JAN 2024,978,Evropa
1947,7.73,Klara JANŽA,27 JUL 2007,SLO,3,27 JAN 2024,978,Evropa
1947,7.73,Patricia BRUNNINGER,18 JUL 2006,AUT,2,27 JAN 2024,978,Evropa
1947,7.73,Amani KIRNON,,MNT,5h2,27 JAN 2024,978,Azija
1947,7.73,Malaysia JOHNSON,,USA,5h1,27 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Nerissa THOMPSON,,USA,4f7,27 JAN 2024,978,Severna in Srednja Amerika
1947,7.73,Liana KEGEL,2008,GER,3f1,28 JAN 2024,978,Evropa
1947,7.73,Petra BESENYŐDI,23 NOV 2006,HUN,8f1,28 JAN 2024,978,Evropa
1947,7.73,Kira KRUUTI,10 MAY 1998,FIN,4f5,03 FEB 2024,978,Evropa
1947,7.73,Blanca PEREZ,08 SEP 2003,ESP,4h3,03 FEB 2024,978,Evropa
1947,7.73,Marta MORENO,14 MAY 2002,ESP,7sf2,03 FEB 2024,978,Evropa
1947,7.73,Emma MANCONI,03 SEP 2006,ITA,5sf1,03 FEB 2024,978,Evropa
1947,7.73,Beatriz NIETO,25 SEP 2001,ESP,5h1,04 FEB 2024,978,Evropa
1947,7.73,Polina KAREL,23 JUN 2006,KAZ,3h3,05 FEB 2024,978,Azija
1947,7.73,Courtney LINES,,USA,1h2,09 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Kiara CAMPBELL,,USA,2h1,09 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Anyssa HALL,,USA,8h1,09 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Zoe ADAMS,,USA,5pr9,09 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Dominique NEDD,2003,CAN,1f1,09 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Yekaterina TIMOFEYEVA,19 OCT 2004,RUS,2h7,09 FEB 2024,978,Evropa
1947,7.73,Hannah FOXX,,USA,7h1,09 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Alessandra Martina GELPI,23 SEP 2008,ITA,3sf2,10 FEB 2024,978,Evropa
1947,7.73,Lea BUBALO,01 JUL 2003,CRO,2f3,10 FEB 2024,978,Evropa
1947,7.73,Olivia CARLI,2005,NED,3f1,10 FEB 2024,978,Evropa
1947,7.73,Brooke OVERHOLT,02 APR 2000,CAN,4q5,10 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Jodian STEWART,22 AUG 2001,JAM,1f2,10 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Jayden LIGHTFORD,,USA,1f2,10 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Asjah ATKINSON,,USA,4f8,10 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Chiara MICHIELON,18 APR 2000,ITA,4f1,11 FEB 2024,978,Evropa
1947,7.73,Kayla HARRIN,,USA,3h2,16 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Yelizaveta GOPP,30 APR 2005,RUS,3sf3,16 FEB 2024,978,Evropa
1947,7.73,Veronika ŠŤASTNÁ,22 APR 2001,CZE,6h3,17 FEB 2024,978,Evropa
1947,7.73,Nerea DEL RIO,29 MAR 1996,ESP,7h1,17 FEB 2024,978,Evropa
1947,7.73,Elizaveta SHEVCHENKO,07 APR 2005,BUL,5,17 FEB 2024,978,Evropa
1947,7.73,Lauren DOERR,,USA,1,17 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Annabelle HEIMAN,,USA,2h2,19 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Jayani SANTOS,,USA,4h2,19 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Maliyah THOMPSON,,USA,5,20 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Taryn LAMORIE,1999,CAN,3h3,23 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Claire HUTCHISON,,USA,4h2,23 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Yuliya SHALUNOVA,02 JUL 1994,RUS,4h1,23 FEB 2024,978,Evropa
1947,7.73,Judith BEDIAKO,,USA,3h1,23 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Tereza MARKOVÁ,02 JUN 2008,CZE,3h2,24 FEB 2024,978,Evropa
1947,7.73,Petrina ZBOROVSZKY,,USA,3,24 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Rita BARBOSA,17 JUN 2005,POR,2,24 FEB 2024,978,Evropa
1947,7.73,Nellie WARTANIAN,2005,SWE,4h3,25 FEB 2024,978,Evropa
1947,7.73,Ciella SEALS,,USA,5h1,25 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Stephaniqe DEAN,2005,BAH,4,25 FEB 2024,978,Severna in Srednja Amerika
1947,7.73,Yekaterina BUDAYEVA,22 OCT 2003,RUS,3,28 FEB 2024,978,Evropa
1947,7.73,Eimear MC GRATH,,IRL,1,02 MAR 2024,978,Evropa
1947,7.73,Amaya KRUSE JØRGENSEN,14 DEC 2006,DEN,1,02 MAR 2024,978,Evropa
1947,7.73,Yangyang ZHENG,20 JUN 2004,CHN,3h2,03 MAR 2024,978,Azija
1947,7.73,Chizaram STEPHENS,,USA,1h3,08 MAR 2024,978,Severna in Srednja Amerika
1947,7.73,Nina KYEI-ABOAGYE,,USA,3h2,09 MAR 2024,978,Severna in Srednja Amerika
1947,7.73,Ava KITCHINGS,28 FEB 2008,USA,3h5,09 MAR 2024,978,Severna in Srednja Amerika
1947,7.73,Dylan NELSON,,USA,4h7,09 MAR 2024,978,Severna in Srednja Amerika
1947,7.73,Thalia WATERS,,USA,5h11,09 MAR 2024,978,Severna in Srednja Amerika
1947,7.73,Julienne WARNER,,USA,5h16,09 MAR 2024,978,Severna in Srednja Amerika
1947,7.73,Yaohua ZHU,05 APR 2001,CHN,1h2,12 MAR 2024,978,Azija
1947,7.73,Qing ZHONG,12 JAN 2005,CHN,3h3,12 MAR 2024,978,Azija
1947,7.73,Oluwadamitan SHOWEMIMO,,GBR,1,17 MAR 2024,978,Evropa
1947,7.73,Selina FURLER,10 JUL 2003,SUI,3f3,04 MAY 2024,978,Evropa
2038,7.74,Pika BIKAR KERN,11 SEP 2006,SLO,4f6,07 JAN 2024,975,Evropa
2038,7.74,Lena KANICKA,15 MAY 2007,POL,1f2,13 JAN 2024,975,Evropa
2038,7.74,Denise YOUSSEF,10 JAN 1999,AUS,3h4,13 JAN 2024,975,Oceanija
2038,7.74,Wiktoria DROZD,20 SEP 2001,POL,2h2,13 JAN 2024,975,Evropa
2038,7.74,Queenivette NGUTA,,GBR,4,13 JAN 2024,975,Evropa
2038,7.74,Chelsea WALKER,29 JUN 1997,GBR,3h2,13 JAN 2024,975,Evropa
2038,7.74,Klaudia CHROSTEK,15 FEB 2006,POL,3f1,14 JAN 2024,975,Evropa
2038,7.74,Maria RÄSÄNEN,11 MAR 1992,FIN,4f2,20 JAN 2024,975,Evropa
2038,7.74,Tora BØGEBERG LILLEAAS,06 NOV 2005,NOR,2f6,20 JAN 2024,975,Evropa
2038,7.74,Joanna FUS,23 JAN 2006,POL,1h1,20 JAN 2024,975,Evropa
2038,7.74,Zora SCHLETT,2008,GER,2f1,20 JAN 2024,975,Evropa
2038,7.74,Jaeden GARRAWAY,2006,CAN,5f1,20 JAN 2024,975,Severna in Srednja Amerika
2038,7.74,Haya KOBROSLY,22 AUG 2002,LBN,6f1,20 JAN 2024,975,Azija
2038,7.74,Leena PFISTER,14 AUG 2005,SUI,1f1,21 JAN 2024,975,Evropa
2038,7.74,Melissa GROSJEAN,15 JAN 2001,FRA,1f2,21 JAN 2024,975,Evropa
2038,7.74,Elisa GIANFRANCESCHI,17 NOV 2001,ITA,1h3,21 JAN 2024,975,Evropa
2038,7.74,Uliana STEPANIUK,02 OCT 2007,UKR,2,26 JAN 2024,975,Evropa
2038,7.74,Addison MCLAURIN,,USA,4h4,26 JAN 2024,975,Severna in Srednja Amerika
2038,7.74,Alba PÉREZ,30 AUG 1998,ESP,3h1,27 JAN 2024,975,Evropa
2038,7.74,Inka-Maria YLITALO,28 APR 2004,FIN,2er,27 JAN 2024,975,Evropa
2038,7.74,Daša KERNEL,30 JUL 2006,SLO,1h2,27 JAN 2024,975,Evropa
2038,7.74,Lea WAGNER,2006,GER,4,27 JAN 2024,975,Evropa
2038,7.74,Cayetana CHIRINOS,26 JAN 2008,PER,7h2,27 JAN 2024,975,Južna Amerika
2038,7.74,Milla TONAZZI,19 FEB 2007,SUI,1f3,27 JAN 2024,975,Evropa
2038,7.74,Joana BARRETO SANTOS,18 JUL 2005,POR,2,28 JAN 2024,975,Evropa
2038,7.74,Gretchen RANEY,,USA,3h6,02 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Eli JONES,,GBR,2,03 FEB 2024,975,Evropa
2038,7.74,Elena MERIDA,28 AUG 2002,ESP,4h4,03 FEB 2024,975,Evropa
2038,7.74,Rachele TORCHIO,08 FEB 2005,ITA,6sf2,03 FEB 2024,975,Evropa
2038,7.74,Maëva TAHOU,12 OCT 2003,SUI,1h5,03 FEB 2024,975,Evropa
2038,7.74,Ichiha FUSE,31 MAY 2008,JPN,1h1,03 FEB 2024,975,Azija
2038,7.74,Ankitha KONGARA,2007,CAN,1f2,03 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Anna SEMLER,2001,GER,6f2,03 FEB 2024,975,Evropa
2038,7.74,Carolina VENTURA,2009,POR,1,03 FEB 2024,975,Evropa
2038,7.74,Jonah ROSS,01 MAY 2002,USA,7h1,03 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Denisa KOŠŤÁLOVÁ,2008,CZE,2,04 FEB 2024,975,Evropa
2038,7.74,Marika SHIOJI,01 AUG 2005,JPN,6h2,04 FEB 2024,975,Azija
2038,7.74,Daniella OYENUGA,2004,CAN,6sf1,09 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Alena WILLIAMS,2002,USA,2h6,09 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Aniya WOODRUFF,11 FEB 2004,USA,1pr2,09 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Alika CRAWFORD,,USA,5pr11,09 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Nevaeh WILLIAMS,,USA,3,09 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Tristian CAMPBELL,,USA,3h2,09 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Laia OLASCOAGA,26 AUG 2005,ESP,1,10 FEB 2024,975,Evropa
2038,7.74,Diane FREART,2007,FRA,3er2,10 FEB 2024,975,Evropa
2038,7.74,Kylee PARSONS,,USA,1f3,10 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Jaymie RUSKOVICH,,USA,1f4,10 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Isila APKUP,15 AUG 1998,PNG,7h2,10 FEB 2024,975,Oceanija
2038,7.74,Madelief VAN LEUR,19 APR 2007,NED,5f1,10 FEB 2024,975,Evropa
2038,7.74,Matilda VITSUT,22 AUG 2004,EST,4,17 FEB 2024,975,Evropa
2038,7.74,Madara LUNGEVIČA,10 MAY 2001,LAT,2,17 FEB 2024,975,Evropa
2038,7.74,Nea MATTILA,24 NOV 1999,FIN,6h4,17 FEB 2024,975,Evropa
2038,7.74,Femke NUIJTEN,18 AUG 1999,NED,3h1,17 FEB 2024,975,Evropa
2038,7.74,Lianne VAN KRIEKEN,15 JAN 1997,NED,3h2,17 FEB 2024,975,Evropa
2038,7.74,Antonia BROCKLEY,,GBR,3,17 FEB 2024,975,Evropa
2038,7.74,Janine BOYLE,30 DEC 1999,IRL,5sf2,18 FEB 2024,975,Evropa
2038,7.74,Angie MESA-ESPINOSA,,USA,4h3,19 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Faith GANDY,,USA,6h4,19 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Kaylee ALLEN,,USA,2h2,21 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Makayla JONES,2004,USA,2h3,21 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Renata MEKHANCHUK,05 FEB 1998,UKR,2,23 FEB 2024,975,Evropa
2038,7.74,Abby HANCOCK,,USA,6h1,23 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Rileigh MCGREE,,USA,5h4,23 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Alyssa WILLIS,,USA,3h2,23 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Piper RODGERS,,USA,3h1,23 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Bianca BROWNE,2001,USA,3h3,23 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Marion KOHOU,2005,FRA,7sf2,24 FEB 2024,975,Evropa
2038,7.74,Gabriele MANGIN,2008,FRA,2h1,24 FEB 2024,975,Evropa
2038,7.74,Nanda FREI,26 JAN 2005,SUI,3f1,24 FEB 2024,975,Evropa
2038,7.74,Madison MURRY,,USA,4h3,24 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Cece CHARLES,2002,GRN,4h5,25 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Cajsa AUGUSTSSON,21 MAR 2002,SWE,5,25 FEB 2024,975,Evropa
2038,7.74,Savannah MING,,USA,4h1,25 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Ariana YAKLICH,,USA,5h4,25 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Lerato PAGES,14 APR 2005,ESP,2,25 FEB 2024,975,Evropa
2038,7.74,Baux TRUCKEY,,USA,2,25 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,Aryianna FAIRCLOTH,,USA,4h2,25 FEB 2024,975,Severna in Srednja Amerika
2038,7.74,D'Lainey NAKAMOTO,,USA,3h3,25 FEB 2024,975,Severna in Srednja Amerika
